VARIABLE_MAPPING_ID,VARIABLE_ID,IS_SOURCE,VALID_FROM,VALID_TO
SHS_ENTITY_ID_TYPE,LGL_ENTTY_ID_TYP,false,1999-01-01,9999-12-31
SHS_HOLDER_SECTOR,HLDR_INSTTTNL_SCTR,false,1999-01-01,9999-12-31
SHS_ISSUER_SECTOR,INSTTTNL_SCTR_ISSR,false,1999-01-01,9999-12-31
SHS_FUNCTIONAL_CATEGORY,INVSTMNT_TYP,false,1999-01-01,9999-12-31
SHS_PRICE_VALUE_BASIS,UNT_MSR_PRC_VL,false,1999-01-01,9999-12-31
SHS_ENTITY_ID_TYPE,ECB2_ENTITY_ID_TYPE,true,1999-01-01,9999-12-31
SHS_MONTH_AV_PRICE,ECB2_MONTH_AV_PRICE,true,1999-01-01,9999-12-31
SHS_ISSUER_COUNTRY,ECB2_ISSUER_COUNTRY,true,1999-01-01,9999-12-31
SHS_DT_FRBRNC_STTS,ECB2_DT_FRBRNC_STTS,true,1999-01-01,9999-12-31
SHS_LEVEL_IN_GROUP,ECB2_LEVEL_IN_GROUP,true,1999-01-01,9999-12-31
SHS_REP_NOM_CURR,CRRNCY_TRNSCTN_RPRTD,false,1999-01-01,9999-12-31
SHS_MARKET_CAP_EUR,ECB2_MARKET_CAP_EUR,true,1999-01-01,9999-12-31
SHS_ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,false,1999-01-01,9999-12-31
SHS_ISSUER_ID_TYPE,ECB2_ISSUER_ID_TYPE,true,1999-01-01,9999-12-31
SHS_ISSUER_SECTOR,INSTTTNL_SCTR_CNTRL,false,1999-01-01,9999-12-31
SHS_SENIORITY_TYPE,ECB2_SENIORITY_TYPE,true,1999-01-01,9999-12-31
SHS_UNIT_MEASURE_NV,CRRNCY_UNT_MSR_NV,false,1999-01-01,9999-12-31
SHS_AMOUNT_OUT_EUR,ECB2_AMOUNT_OUT_EUR,true,1999-01-01,9999-12-31
SHS_RESID_MAT_DAYS,ECB2_RESID_MAT_DAYS,true,1999-01-01,9999-12-31
SHS_DFLT_STTS_ISSR,ECB2_DFLT_STTS_ISSR,true,1999-01-01,9999-12-31
