ID,CUBE_ID,COMBINATION_ID
23322,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_154381_REF
23323,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0_152837_REF
23324,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_66947_REF
23325,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0_152963_REF
23326,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430698_REF
23327,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_155514_REF
23328,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_442034_REF
23329,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154862_REF
23330,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430870_REF
23331,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0_152819_REF
23332,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_155013_REF
23333,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0_152223_REF
23334,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430906_REF
23335,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_456852_REF
23336,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154829_REF
23337,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_155003_REF
23338,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0_152315_REF
23339,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154016_REF
23340,F_25_02_a_REF_FINREP_3_0,F_25_02_a_REF_FINREP_3_0_433484_REF
23341,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_441927_REF
23342,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_153925_REF
23343,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_154310_REF
23344,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_154278_REF
23345,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0_152934_REF
23346,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0_429514_REF
23347,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154082_REF
23348,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_66984_REF
23349,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_66927_REF
23350,F_19_00_e_REF_FINREP_3_0,F_19_00_e_REF_FINREP_3_0_429962_REF
23351,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_441913_REF
23352,F_19_00_d_REF_FINREP_3_0,F_19_00_d_REF_FINREP_3_0_434041_REF
23353,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_155037_REF
23354,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_431109_REF
23355,F_18_00_c_REF_FINREP_3_0,F_18_00_c_REF_FINREP_3_0_429483_REF
23356,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_431088_REF
23357,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154103_REF
23358,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_154354_REF
23359,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154899_REF
23360,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430415_REF
23361,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0_152794_REF
23362,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_149714_REF
23363,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_433732_REF
23364,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_155117_REF
23365,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430988_REF
23366,F_18_00_d_REF_FINREP_3_0,F_18_00_d_REF_FINREP_3_0_429968_REF
23367,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154047_REF
23368,F_25_02_a_REF_FINREP_3_0,F_25_02_a_REF_FINREP_3_0_433583_REF
23369,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_155499_REF
23370,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_454912_REF
