MAINTENANCE_AGENCY_ID,CUBE_STRUCTURE_ID,NAME,CODE,DESCRIPTION,VALID_FROM,VALID_TO,VERSION
,NN_FNNCL_ASST,NN_FNNCL_ASST,,,,,
,NN_FNNCL_LBLTY,NN_FNNCL_LBLTY,,,,,
,NTRL_PRSN_KY_MNGMNT_PRSNLL_ASSGNMNT,NTRL_PRSN_KY_MNGMNT_PRSNLL_ASSGNMNT,,,,,
,ORDINATE_ITEM,ORDINATE_ITEM,,,,,
,OTC_DRVTV_HDG,OTC_DRVTV_HDG,,,,,
,OTC_DRVTV_INSTRMNT_SNTHTC_SCRTSTN_ASSGNMNT,OTC_DRVTV_INSTRMNT_SNTHTC_SCRTSTN_ASSGNMNT,,,,,
,OTHR_PRTY_ID,OTHR_PRTY_ID,,,,,
,PRTCTN_ARRNGMNT,PRTCTN_ARRNGMNT,,,,,
,PRTCTN_ARRNGMNT_RL,PRTCTN_ARRNGMNT_RL,,,,,
,PRTCTN_PRTCTN_PRVD_ASSGNMNT,PRTCTN_PRTCTN_PRVD_ASSGNMNT,,,,,
,PRTNR_ENTRPRS_ASSGNMNT,PRTNR_ENTRPRS_ASSGNMNT,,,,,
,PRTY,PRTY,,,,,
,PRTY_CD,PRTY_CD,,,,,
,PRTY_PRVS_PRD_DT,PRTY_PRVS_PRD_DT,,,,,
,Permission,Permission,,,,,
,PopulatedDataBaseTable,PopulatedDataBaseTable,,,,,
,RPRCHS_AGRMNT_CMPNNT,RPRCHS_AGRMNT_CMPNNT,,,,,
,RSK_FAC_SA,RSK_FAC_SA,,,,,
,RTNG_AGNCY,RTNG_AGNCY,,,,,
,RTNG_AGNCY_EXCSS_MTHDLGY_CVRD_BND_PRGRMM_ASSGNMNT,RTNG_AGNCY_EXCSS_MTHDLGY_CVRD_BND_PRGRMM_ASSGNMNT,,,,,
,RTNG_GRD,RTNG_GRD,,,,,
,RTNG_GRD_CNTRL_BNK_PRVT_SCTR_CMPN_ASSGNMNT,RTNG_GRD_CNTRL_BNK_PRVT_SCTR_CMPN_ASSGNMNT,,,,,
,RTNG_GRD_CNTRY_ASSGNMNT,RTNG_GRD_CNTRY_ASSGNMNT,,,,,
,RTNG_GRD_ISS_BSD_RTNG_SSTM_DBT_SCRTY_ASSGNMNT,RTNG_GRD_ISS_BSD_RTNG_SSTM_DBT_SCRTY_ASSGNMNT,,,,,
,RTNG_SYSTM,RTNG_SYSTM,,,,,
,RTNG_SYSTM_APPLD_LGL_PRSN,RTNG_SYSTM_APPLD_LGL_PRSN,,,,,
,SBSDRY_JNT_VNTR_ASSCT_OTHR_ORGNSTN_ASSGNMNT,SBSDRY_JNT_VNTR_ASSCT_OTHR_ORGNSTN_ASSGNMNT,,,,,
,SCRTY_BRRWNG_CMPNNT_SCRTY_CLLTRL_ASSGNMNT,SCRTY_BRRWNG_CMPNNT_SCRTY_CLLTRL_ASSGNMNT,,,,,
,SCRTY_CLLTRL_LNDNG_CMPNNT_SCRTY_CLLTRL_ASSGNMNT,SCRTY_CLLTRL_LNDNG_CMPNNT_SCRTY_CLLTRL_ASSGNMNT,,,,,
,SCRTY_ENTTY_RL_ASSGNMNT,SCRTY_ENTTY_RL_ASSGNMNT,,,,,
,SCRTY_EXCHNG_TRDBL_DRVTV,SCRTY_EXCHNG_TRDBL_DRVTV,,,,,
,SCRTY_HDGD_EXCHNG_TRDBL_DRVTV,SCRTY_HDGD_EXCHNG_TRDBL_DRVTV,,,,,
,SCRTY_LNDNG_CMPNNT_SCRTY_ASSGNMNT,SCRTY_LNDNG_CMPNNT_SCRTY_ASSGNMNT,,,,,
,SCRTY_PSTN,SCRTY_PSTN,,,,,
,SCRTY_PSTN_HDGD_OTC_DRVTV,SCRTY_PSTN_HDGD_OTC_DRVTV,,,,,
,SCRTY_SCRTY_RPRCHS_AGRMNT_CMPNNT_ASSGNMNT,SCRTY_SCRTY_RPRCHS_AGRMNT_CMPNNT_ASSGNMNT,,,,,
,SCTRY_BRRWNG_LNDNG_TRNSCTN_INCLDNG_CSH_CLLTRL,SCTRY_BRRWNG_LNDNG_TRNSCTN_INCLDNG_CSH_CLLTRL,,,,,
,SGNFCNT_CRRNCY_DPRCTN_CNTNGNT_ENCMBRNC,SGNFCNT_CRRNCY_DPRCTN_CNTNGNT_ENCMBRNC,,,,,
