ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
2193,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
2194,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
2195,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
2196,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
2197,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__ENTRPRS_SZ,ENTRPRS_SZ,,,,,,,,,,,,
2198,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__PRPS,PRPS,,,,,,,,,,,,
2199,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
2200,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__TYP_CLLTRL,TYP_CLLTRL,,,,,,,,,,,,
2201,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__PRFRMNG_STTS,PRFRMNG_STTS,,,,,,,,,,,,
2202,F_19_00_a_REF_FINREP_3_0_cube_structure,F_19_00_a_REF_FINREP_3_0_cube_structure__TYP_CLLTRL,TYP_CLLTRL,,,,,,,,,,,,
2203,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure__CRRYNG_AMNT,CRRYNG_AMNT,,,,,,,,,,,,
2204,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
2205,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
2206,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
2207,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
2208,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
2209,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
2210,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
2211,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
2212,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
2213,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
2214,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
2215,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
2216,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
2217,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__RPYMNT_RGHTS,RPYMNT_RGHTS,,,,,,,,,,,,
2218,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
2219,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
2220,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
2221,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
2222,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__ENTRPRS_SZ,ENTRPRS_SZ,,,,,,,,,,,,
2223,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__PRPS,PRPS,,,,,,,,,,,,
2224,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
2225,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__TYP_CLLTRL,TYP_CLLTRL,,,,,,,,,,,,
2226,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure__PRFRMNG_STTS,PRFRMNG_STTS,,,,,,,,,,,,
2227,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure__NMNL_AMNT,NMNL_AMNT,,,,,,,,,,,,
2228,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
2229,F_18_00_d_REF_FINREP_3_0_cube_structure,F_18_00_d_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
2230,F_18_00_d_REF_FINREP_3_0_cube_structure,F_18_00_d_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
2231,F_18_00_d_REF_FINREP_3_0_cube_structure,F_18_00_d_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
2232,F_18_00_d_REF_FINREP_3_0_cube_structure,F_18_00_d_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
2233,F_18_00_d_REF_FINREP_3_0_cube_structure,F_18_00_d_REF_FINREP_3_0_cube_structure__RPYMNT_RGHTS,RPYMNT_RGHTS,,,,,,,,,,,,
