Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
044FB171-CDCC-A2E2-75CA-EDB2F7F223A2,Advance type,16,ADVNC_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
31D8E4D4-8434-5786-6143-C834F3DE196F,Agriculture land indicator,17,AGRCLTR_LND_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
2BB0BC4F-2625-4B6E-BFB9-85C466713314,All possible dates,18,DT_FLL,LOGDT007,509,,,,DATE,Date
a8f7e3d5-41d7-4cd4-9952-7ed53c3fe964,Amortisation type,19,TYP_AMRTSTN,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
0805E868-C4A9-426B-B31B-D53B631BB383,Approach for prudential purposes,20,APPRCH_PRDNTL_PRPSS,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
F21D7E66-8190-9747-3D5F-8232A93684E2,Area where the entity is located,21,GGRPHCL_ARS_SHSG4_ENTITY_1_CNTRY_REF,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,5,,,VARCHAR2,String
69C06194-004C-4FE7-BDF3-389D48924716,Assessment approach for credit quality status - full domain,22,APPRCH_CRDT_QLTY_STTS,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
760D4A10-7EAF-40F3-93F6-1596CE29B357,Asset encumbrance source indicator,23,ASST_ENCMBRNC_SRC_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
93F873CF-8803-7E74-36E0-38E16414AE32,Asset encumbrance source indicator (Input layer),24,ASST_ENCMBRNC_SRC_INDCTR_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
74F9D2DC-4D52-4270-111B-7D67212176E7,Asset pool (subject to securitisation and other credit transfer) type,25,ASST_PL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
76954403-E05D-4C9F-AB27-85F834E8F705,Asset pool Instrument assignment type,26,ASST_PL_INSTRMNT_ASSGNMNT_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
D7FABC87-C4A4-4163-B3EF-9417E41D6660,Available for encumbrance indicator,27,AVLBL_ENCMBRNC_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
